google-link,username,Past Action,Time,Review
https://lh3.googleusercontent.com/a-/ALV-UjX8riOKZRgaekmmn-Olt8tLBdq__3uEKVkT-AdW7CLeKeobULQ=w36-h36-p-rp-mo-ba5-br100,Maz Zalan,"Local Guide · 243 reviews · 1,157 photos",4 months ago,"Went here recently and had an okay experience. The queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. They don’t let the next group in until everyone in the current batch is done, so be …"
https://lh3.googleusercontent.com/a-/ALV-UjW792DAP8vKhtXbrq3J0PG3PftCUuOe1cRzNQn_EffpmddcikdiBQ=w36-h36-p-rp-mo-br100,Amira Azhar,6 reviews · 1 photo,2 weeks ago,"The que was decent, but I would not recommend you guys to take the desserts that lays in the glass. It was not as fresh, but the pancake and the cake bowl was amazing. Truly suka dessert's choclate base is something else and nothing compares. Just get the freshly made ones :)"
https://lh3.googleusercontent.com/a-/ALV-UjWBs4bJbt7-XWLwtEnqzagwkq3GR1TQ66KWcgWfRIMW1-mjSrdI=w36-h36-p-rp-mo-ba3-br100,Afiqah saiful anuar,Local Guide · 28 reviews · 67 photos,7 months ago,"Pros-
• Queue was long but it only took around 30 mins since it's a batch by batch system. …"
https://lh3.googleusercontent.com/a/ACg8ocL4x92WdHQ4E8DhtwqVI5JnHC53nBhl10yH6XEQjijoFfIZWA=w36-h36-p-rp-mo-br100,Hisyam Abdullah,5 reviews · 5 photos,7 months ago,"Pros: The desserts here are mostly good. Plenty of variety. If you're a chocolate lover, you'll have a hard time deciding what to get, so I'd recommend going to their insta and deciding beforehand what you'd like to get. …"
https://lh3.googleusercontent.com/a-/ALV-UjW9siNIeejZ8whE8qENypJwKI6PvKNQa2XGCVNMrT8ydbTMI3D2=w36-h36-p-rp-mo-ba3-br100,Ami,Local Guide · 16 reviews · 39 photos,10 months ago,"For those who are chocolate lovers..you need to go here. The price like ‘mahal sikit’ but you got premium chocolate, so worth it for the price. …"
https://lh3.googleusercontent.com/a-/ALV-UjV3ACr1Twq4cwzC_39rL2ytbgdJajx4VzAbG0ioY3ZL-fDNLr01=w36-h36-p-rp-mo-ba5-br100,Mixon Kumaran,Local Guide · 340 reviews · 246 photos,9 months ago,This is my second time in Suka Dessert. I really love the sweets sold here. Recently the hype is crazy and the crowd queuing is super long. Today I experienced it and I definitely know the reasons behind this. I queued at 1140am just to get …
https://lh3.googleusercontent.com/a-/ALV-UjWSh5fiCDGkNMSGbRnNm5lWYuDQAWshTT53Q0SiezRux7Wa987xeQ=w36-h36-p-rp-mo-ba3-br100,asmahhanem,Local Guide · 31 reviews · 77 photos,5 months ago,"salam & hi...

in my opinion, Suka Dessert is one of the many viral places that exceeds my …"
https://lh3.googleusercontent.com/a-/ALV-UjWXTGQUlW9Ac4H-lxVydhQEhBEHiaXLu5rFisu1LmTDEosyLnUOIg=w36-h36-p-rp-mo-ba4-br100,Harris Hizaruddin,Local Guide · 66 reviews · 34 photos,11 months ago,"For a first time going there, I would say it's pretty confusing for ordering a food. You have to queue while ordering what do you want on each station as you progress. For newer menu, you need to order it on the cashier which is nuisance to …"
https://lh3.googleusercontent.com/a-/ALV-UjV3dZshPBJuhTxGr4gtCoJTSwCMaUJf1mbKRJ-P85L7nsSHSflC=w36-h36-p-rp-mo-br100,Nur Dhia Iman,8 reviews · 20 photos,8 months ago,I know the line is Long But this place didn’t take that long to line up i’ve been to those viral places that i have to line up way more longer than this one!.the Service is Oky but the staff is A bit slow just a bit!.I tried All the …
https://lh3.googleusercontent.com/a-/ALV-UjXXf6IHpPYIHaAbcx0HLGAqpfB8GfHK8SZMDs5dmqfZ8rjdp0bX=w36-h36-p-rp-mo-ba4-br100,Shyndi Ayu,Local Guide · 27 reviews · 105 photos,4 months ago,"Beratur tggu turn nak masuk dlm 10minute, order and paid smooth process. Overall pricey but delicious, really worth it once in a while …"
https://lh3.googleusercontent.com/a-/ALV-UjWMo-npErSJL_BlO_Du6Ss1VPPtRpCTYWTxV2Msgk5hEHXRTbvnvg=w36-h36-p-rp-mo-ba2-br100,Reshanthini Kumaran,Local Guide · 14 reviews · 11 photos,10 months ago,Their desserts are to die for. Worth every penny. The price was reasonable for the portion they’re providing. It was quite crowded during weekdays too but the staffs there managed everything quickly. Will go again very soon
https://lh3.googleusercontent.com/a-/ALV-UjU1I7vz57tLp3q8g9ru93N2i_kyETpnliTsJkV171bukBRE2r0=w36-h36-p-rp-mo-ba4-br100,min yoonstar093,Local Guide · 45 reviews · 132 photos,8 months ago,I went here on Sunday and there was already around 11-14 people started queuing. Mind you that I came as early as 9am (shop opens at 10am)😅 …
https://lh3.googleusercontent.com/a-/ALV-UjW00yo72pP6nQR_l3RfYWuxFWygc-UekASwe-8bPUCWZMe2NZOk=w36-h36-p-rp-mo-ba4-br100,sarah ahmad,Local Guide · 62 reviews · 265 photos,9 months ago,"Food was good, a lot of desserts selection ready made that you can choose from. Their signatures are cake in bowl and cookies dip with fresh milk. …"
https://lh3.googleusercontent.com/a-/ALV-UjXd2IZVx546COQE2w4mD3coOrPYXUA-_30MR3EwCjc_7aNO2t1x=w36-h36-p-rp-mo-ba4-br100,Hasanudin Ahmad,Local Guide · 77 reviews · 74 photos,a year ago,"A lot of desert chocolate bases can be found here.
Cashless parking in the basement or near Selayang Capitols. (paid parking)
If you are lucky enough, you can park at customers parking in front of shops. …"
https://lh3.googleusercontent.com/a/ACg8ocKJZwNNVm7pemn90J2miIkBDUNDSKzfzNWv-6JE2d0bmfpmk_w=w36-h36-p-rp-mo-ba2-br100,M M,Local Guide · 18 reviews · 4 photos,5 months ago,"Their dessert is undoubtedly really good! I don’t care if people say it’s too sweet, what do you expect dessert to taste like? Bitter? However, their opening time isn’t punctual. They are supposed to open at 10 a.m., but they were 10 minutes late."
https://lh3.googleusercontent.com/a-/ALV-UjUl-5Mkjhajs8IZIe4Cz42BT-MTvBUYsUJJHTdYX-xEPhQM_lyS=w36-h36-p-rp-mo-ba5-br100,Mathy 7,Local Guide · 75 reviews · 412 photos,11 months ago,"Due to the hype , I came
If ur really planning to go , plan with a gang of at least 3-4 ppl. So can share . I muak since too much . Pancake with biscoff is ok . Brownies very dry . The …"
https://lh3.googleusercontent.com/a-/ALV-UjWj-eF8TxZgDzbZmCdm74lVvBpaInft-j0AbmEAabDanYZIqUk=w36-h36-p-rp-mo-ba5-br100,Hamzi Che Mat,"Local Guide · 144 reviews · 1,006 photos",10 months ago,Great and tasty desert. Premium taste and love with their choc! You should try guys. Avoid to come during peak hour or u need to wait 20 min +- hehe
https://lh3.googleusercontent.com/a-/ALV-UjW3zsAZD7tQdtx4WHI4a-g0K8UD_EmTvd4w1RENuTlyjMaB8l_Z=w36-h36-p-rp-mo-ba5-br100,Hadi Nor,Local Guide · 88 reviews · 532 photos,2 years ago,"We love chocolate. So Suka Dessert offers you tons of chocolate selections to be made. I don't know what I order but it does taste very good! 😂😂😂 They also have pastas and others if you really hungry. Please be aware of your plan, come at …"
https://lh3.googleusercontent.com/a-/ALV-UjUfqHBy2eD2ZrLP-0g5S_FVd86hEriQlAHty8FUrbbclam-f8K40A=w36-h36-p-rp-mo-ba4-br100,Al Fikri Anuar,Local Guide · 63 reviews · 362 photos,a year ago,"Desserts are decent quality, especially the brownies and chocolate cheese tart. Banyak choices, cume a bit pricey. Not enough parking space especially on weekends due to overcrowding, klau lucky boleh parking dekat reserved customer parking spot."
https://lh3.googleusercontent.com/a-/ALV-UjX4MvOxvvJJsZR1j9l69gfvGj7hz2PiEQMS-l-rHsrff-CArxz_=w36-h36-p-rp-mo-ba4-br100,Muhadir Abdullah,Local Guide · 50 reviews · 218 photos,a year ago,"Certainly! If you're a dessert lover and looking for a delightful experience, this place is a must-visit. It offers a wide array of scrumptious desserts, ranging from classic favorites to innovative and unique creations. From delectable …"
https://lh3.googleusercontent.com/a-/ALV-UjVXQSQWM_2aAM0Pje0OxZ3CUfAKrNRgl856q9wdn0F3rpAocLSU=w36-h36-p-rp-mo-br100,Nabihah Husna,5 reviews · 16 photos,2 months ago,"love the desserts, try to come on weekdays to avoid queues 👍🏻 …"
https://lh3.googleusercontent.com/a-/ALV-UjUETMxpxEq6TyphV1ekVqN_AgVgpzh__PPeDUetLPw13-Ql91zu=w36-h36-p-rp-mo-ba3-br100,misz ieyka,Local Guide · 30 reviews · 43 photos,9 months ago,"spendong rm200+.. tbh not worth the expensive price,  the cake is too sweet. banyak jenis juga i order, tak rasa pun premium nyaa... …"
https://lh3.googleusercontent.com/a-/ALV-UjVAeKsh5uKmIV7MDhKNZcTfgRoC3ZXTmHQohymc0xdeG2LtfGf_=w36-h36-p-rp-mo-ba6-br100,Fun activities,"Local Guide · 519 reviews · 2,426 photos",a year ago,"Need to queue to dine in. Lots of choices of desserts. Price is ok, I think. The taste is quite sweet, but that's what desserts should taste after all 😂. Fast service. Good location. …"
https://lh3.googleusercontent.com/a-/ALV-UjWcCT1PxMfB9H0UAPvwwQ6q0e4n0RyPmUH43eBwf_l27cZz7_c8Qg=w36-h36-p-rp-mo-ba4-br100,Firdaus Doo Joon,Local Guide · 58 reviews · 178 photos,11 months ago,"This shop has been making waves since last year. I visited last week before Hari Raya to try their new signature drinks and pastries. 🥐  I love the Voldhona chocolate drink so good !!! The premium quality is undeniable, especially in their …"
https://lh3.googleusercontent.com/a-/ALV-UjX36p0HiBEC2Kbx-lkNeGyMEmRIEJOILdDEMdQ93PbkiCDXaH3S=w36-h36-p-rp-mo-ba3-br100,Yazz Amra,Local Guide · 16 reviews · 22 photos,a year ago,"Twice in a week  went there, from Bukit Bintang, Grab yang sama datang & balik (meaning 2 hari tu, 1 grab yang sama lah yee each day)🤣
susah dapat grab eh this area.. …"
https://lh3.googleusercontent.com/a-/ALV-UjU54N1EmgCOmmK1wvlO-EQ42rw9GyU7JMkEwXIScNpW8d1UB5JC=w36-h36-p-rp-mo-ba3-br100,Anisa,Local Guide · 30 reviews · 27 photos,a year ago,"First time; we tried the rolled ice cream, and cake in bowl. And loveee them taste😍 We ate the cake for a week, keep in the fridge and take bits to steam to get the original texture. Then the second time, we had tried these 2 cookies and …"
https://lh3.googleusercontent.com/a/ACg8ocK-EKWWm8yA_LeRsyqFmD1maLcsfxhCzXGGdEIyhMMp7cSw7Q=w36-h36-p-rp-mo-br100,Nurul Ain,1 review,4 months ago,"service
This was the worst experience I’ve ever had. I’m okay with long queues, but the issue is their system it’s a mess. I went on a weekend, and they had two …"
https://lh3.googleusercontent.com/a-/ALV-UjXhZWewWQSItBm-aJ8-D_ks8E8sI4EtaKxXmL0Q-chR6C86ZFgj=w36-h36-p-rp-mo-ba2-br100,Brentha Devi Sandaran,Local Guide · 16 reviews · 12 photos,7 months ago,Well organised queue management. They’re realising the queue by batch. So no need to wait for a long time(ps: weekday). Decide what you want to buy earlier to ease the process. …
https://lh3.googleusercontent.com/a-/ALV-UjUapkx6fPlnOqBJRiekLnMEcQNXyIQyPMG445Uz4hCNBn8j5_qT=w36-h36-p-rp-mo-br100,Abdul Hakim Adli,7 reviews · 1 photo,3 months ago,"food is okay, but 40 minutes to wait?? like you doesn’t even bother to improve your service. It’s been a while now. All staff are okay, food is fine. But queing is something you should think about. Improve that and i think you will generate more ticket per minute for your store and improve customer satisfaction"
https://lh3.googleusercontent.com/a-/ALV-UjX3EZ_qxBefC_VyE9jeTXKvd7OarvHvbJfiGYZyvGJv9rbH_1K7PA=w36-h36-p-rp-mo-ba3-br100,Maru,Local Guide · 18 reviews · 3 photos,3 months ago,"Tried the Iced Choc & Cake In Bowl. The chocolate is very nice. As they mentioned they use a very expensive chocolate. At first it did taste like Cadbury. But then as you take more bites, the choc does feel a bit different. Same with the …"
https://lh3.googleusercontent.com/a-/ALV-UjW3nElxqRToHaR_zRco_1FhsYy-dSAM7n6oefHpgErC22L5USL2=w36-h36-p-rp-mo-ba6-br100,Pang Kae Jiun,"Local Guide · 746 reviews · 4,855 photos",2 months ago,"Seriously not expansive, but…

Total waste for the quality ingredients, all dessert and pastry at best just …"
https://lh3.googleusercontent.com/a-/ALV-UjWOLubvFnV_cEyerocGMTn043d5S3iS3E3sChKD7sn77WEwv__w=w36-h36-p-rp-mo-ba4-br100,Monisha Tamel Salvan,Local Guide · 30 reviews · 94 photos,a year ago,"I have been here 2 times and both of the times I visited this shop was super busy and crowded. Staffs are friendly and attentive. If you're the person who loves dessert, this place is worth visiting or dining. So many varieties of brownies, baby pancake also ice cream rolls."
https://lh3.googleusercontent.com/a-/ALV-UjXNXED3a6KDI8t4LExgH3dGfzJP0QGy2Pz52TJoZ3pO1CuwN4g=w36-h36-p-rp-mo-ba2-br100,Alstroemeria,Local Guide · 20 reviews,2 months ago,"Enough sugar intake for a month.
My opinion. …"
https://lh3.googleusercontent.com/a-/ALV-UjVMeQULBXDknGVG0coc2fiUBcGStmAfR--7nC58vD5-GZx8Cw=w36-h36-p-rp-mo-br100,Nida Nazurah,7 reviews · 15 photos,2 years ago,"I love the dessert especially the ice cream, 5 stars for ice cream👍🏻 the staff recommend kinder bueno and Toblerone are the best seller, so i chose kinder bueno. It’s not too sweet! Just nice for people who doesn’t really like chocolate. …"
https://lh3.googleusercontent.com/a-/ALV-UjVy9BV7L2ZaMtPuT3iaKSIqCsfx7RdOWRK_NrG8yVKQKcVIXng=w36-h36-p-rp-mo-ba2-br100,Najwa Aljofree,Local Guide · 10 reviews · 1 photo,5 months ago,"An utter sham – grossly overpriced for atrocious quality.

I recently purchased the 'Cookies Bucket', and to my shock, the entire batch was …"
https://lh3.googleusercontent.com/a-/ALV-UjU-JV6l-xwCqr_LE71zaKaNYtdtRfk7WODRfMSHqEcVGHE1P4jm7A=w36-h36-p-rp-mo-ba2-br100,Aida SLee,Local Guide · 19 reviews · 9 photos,8 months ago,Actually I didn't go to their shop but I went to The curve....I love all their desserts...but I love most Cookie in chocolate(I forgot the actual name) my children love it too...that's us !!!just reach KL we rush to the curve...shld try their desserts..drink more plain water ya 🤭 …
https://lh3.googleusercontent.com/a-/ALV-UjUSxAv_EjQeYQ9DCYW5SLGgUHuTPwSu0GOfHBh4AmjeIYejtkKl=w36-h36-p-rp-mo-br100,Ika Azman,21 reviews · 40 photos,2 years ago,"I've been in love with their dessert since way back, where they opened a little shop at Kg. Melayu FRIM. Better come early, if not you have to wait in long queue. They have separate line for dine-in & take away, make sure you line up …"
https://lh3.googleusercontent.com/a-/ALV-UjVnSTb0AgqxiS4MK6V7H0WXBmZ9snAoG1WTOBcFTA7ukeRk3Dnazw=w36-h36-p-rp-mo-ba5-br100,Ruzz1e xoxo,Local Guide · 93 reviews · 477 photos,3 years ago,"Went 12 march 2022. The decor of the place is super nice. Good place for dates or hangout with girlfriends. They have lots of desserts options. I particularly liked the suka mini cake. It had cadburry choc centre. Yum. Whoppie pie was ok, I …"
https://lh3.googleusercontent.com/a-/ALV-UjUPmDPUk_DBO1Af-Cq1B4XuRULgMeiYH0_jJN_vBye5OaB9H9_3=w36-h36-p-rp-mo-ba4-br100,Shahmira Dzahari,Local Guide · 84 reviews · 168 photos,2 months ago,Once in the blue moon. Don't eat casually. Potong kaki
https://lh3.googleusercontent.com/a-/ALV-UjUzzBmqnDVPlzodo8ANkhN8Yr-T9cT_lgrxXnpjXyZwcWBoom6CGw=w36-h36-p-rp-mo-ba4-br100,Muhd Nurdin,Local Guide · 132 reviews · 238 photos,2 years ago,"Went there during weekend, full house! The desserts was okay and delicious. I hope there’re more choices other than a lot types of brownies. I would to recommended the Elysium cake and cheese tart!"
https://lh3.googleusercontent.com/a-/ALV-UjUwf_c70y5bbkPYoLuwTUGAkn2QNt2Gl_b_fj3-Xjzdg4kk7gMm6Q=w36-h36-p-rp-mo-ba4-br100,Raudhah Sharudin,Local Guide · 60 reviews · 159 photos,2 years ago,"If you guys love chocolate, this is the place! There are many kinds of dessert, pancakes, roll ice cream, you say it.. …"
https://lh3.googleusercontent.com/a-/ALV-UjWf4hp5U3Q6xuumnSDtK1eZy4MBuWkj1zyd9qLh2jXYCSfEmI7v=w36-h36-p-rp-mo-br100,Guan Wah Soo,8 reviews · 3 photos,4 weeks ago,"No idea why the customer willing to pay beratus-ratus to eat but not willing to pay for parking fee, brainless driver just park at roadside, 3 lane of mainroad became 2 lane, 1 lane for them parking. Hello, janganlah senangkan sendiri, susahkan orang lain"
https://lh3.googleusercontent.com/a/ACg8ocJK1cIZhQQvNoudoTUEnvA5D290WrcgWg3DAgARWryZfI0_M0Q=w36-h36-p-rp-mo-ba3-br100,Wan Nasuha Razak,Local Guide · 20 reviews · 29 photos,8 months ago,Makanan panas eg nasi goreng rasa plain. Pan mee sedap. Star of the show; dessert is fine. Bring along with u a bottle of mineral water cos the swettness would 'kill' you after few bites. Pricey but no harm try once in a while. Parking quite hard to get so we park a bit far
https://lh3.googleusercontent.com/a-/ALV-UjWqk0cw18CYbIq47YgYp1TF5X7xbkjczIqVl5iP6ALsEdjnfdKf=w36-h36-p-rp-mo-ba3-br100,Kia Satina,Local Guide · 61 reviews · 83 photos,2 years ago,The chocolate is pure Cadbury and not watered down. Good place to go if you are craving pure chocolate taste. Brownie in a cup is RM16 and baby pancake is around RM11 i think. Baby pancake is less 'muak' than brownie in a cup. The savory dishes are quite pricy so better go here only for the dessert.
https://lh3.googleusercontent.com/a-/ALV-UjUfKTYLQGZOvkQWtHSS5h29tCVHcQOo2QsZka6obO8MDf68dsU1bA=w36-h36-p-rp-mo-ba4-br100,Hazre T,Local Guide · 40 reviews · 21 photos,2 years ago,"The food is awful, expensive, dry frozen meat, pasta also very feel like came out from pack. The dessert taste very cheap like assemble kitkat from packet into tart shell. Waffle very chewy like rubber. This is the worst cafe hopping experienced for me. The cheese ramen is ok acceptable."
https://lh3.googleusercontent.com/a-/ALV-UjXmPEGduc4lynWw5YfO7cUDHCzU9X9DLGi2fBNAZ06vRNEPzOuUTw=w36-h36-p-rp-mo-ba4-br100,Shaheera Rahim,Local Guide · 49 reviews · 77 photos,a year ago,To be really frank it taste average and the desserts lack of innovation. Like most comments here-  it basically brownie with different topping. …
https://lh3.googleusercontent.com/a-/ALV-UjUAw0qecpP3w91sPItGLtscfmT-5r0yL5KBrGGeWYAFMg8th0wT=w36-h36-p-rp-mo-ba2-br100,S. Fairuz,Local Guide · 10 reviews · 19 photos,2 years ago,"Very nice, pretty & cozy place to hangout with friends/ loved one! Service also tiptop & their foods taste amazing! Although I come during epic hours, the queue line still going pretty fast! But their dessert most of it doesn't contain dark chocolate, which can be too sweet for some persons. They also have western foods & ramen"
https://lh3.googleusercontent.com/a-/ALV-UjVxY_qhMyeuiG2lspIDXcMAHVb3jVx4WBZoFNyxNSwTBKIndH4B=w36-h36-p-rp-mo-br100,Nur Hidayah,7 reviews · 5 photos,a month ago,Great service by the staff! All food are perfectly perfect
https://lh3.googleusercontent.com/a-/ALV-UjX-A6j8Pf9NsNjv68gnNGM60Kml0xPV9ZaNjrOiyPxkd88ps_M=w36-h36-p-rp-mo-br100,odin son,7 reviews · 9 photos,9 months ago,"The dessert flavourless, only can taste sugar instead flavour. What’s so hard to put a beverage menu on cashier counter, so ur guest can order drinks together with the dessert?? Place is warm."
https://lh3.googleusercontent.com/a-/ALV-UjVDRvqioDRsjmGPpj8psuYLDbqs4cpRRiaOixJy4wYgI_q277mTMg=w36-h36-p-rp-mo-br100,Huda Ummar,10 reviews · 6 photos,2 months ago,"I went there last Saturday around 6pm, there was a queue but was quite fast, it only took 15-20 mins. …"
https://lh3.googleusercontent.com/a-/ALV-UjUkhLLkpMm-Z9igfN2C023x7XcJOaWnbcLAW5BAJv2ZSyeGSQOJ7g=w36-h36-p-rp-mo-ba3-br100,Burhan Khalib,Local Guide · 38 reviews · 46 photos,3 months ago,"Food is kinda bad. Lettuce in spaghetti carbonara? Dessert is equally bad. Other than the ""premium"" chocolate, everything felt cheap. It's like the whole concept is to put the chocolate in everything disregarding balance just for the sake of charging premium."
https://lh3.googleusercontent.com/a-/ALV-UjXwYxGgt2jDTtO-i1X_lQ9E0oF1MQ0MGLsN6rMTBGNRyVwJnrHe=w36-h36-p-rp-mo-ba5-br100,odd oddie,Local Guide · 116 reviews · 428 photos,2 years ago,"for those who loves choc n all dessert...u should come n try their dessert... sweet tooth lover! shout out for u guys there... dont come on weekend or holiday, or else u need to queue for ur turn..either to take away or dine in..they will arrange for u guys. ambience was nice ..prices moderate range."
https://lh3.googleusercontent.com/a/ACg8ocIdWOcrJ0JZzvcmcv7bDbAiB12jrys1G2TsGiwyv9DqdHCPZA=w36-h36-p-rp-mo-ba3-br100,Ardini Nordin,Local Guide · 26 reviews · 16 photos,6 months ago,"Choc cheese in a cup is 💯

Variety of choices. If you are a sweet tooth, this is definitely your place. …"
https://lh3.googleusercontent.com/a/ACg8ocJNm0xdrFJf7GdxCgV7Fd_x7DwtfvUI9L0u7JRfWP6By5P0spQ=w36-h36-p-rp-mo-ba2-br100,Nur Ashikin,Local Guide · 8 reviews · 17 photos,2 years ago,"I ordered the whopie pie & red velvet cake.

Cons: Terrible flavour because I can only taste the sugar. Super sweet. …"
https://lh3.googleusercontent.com/a/ACg8ocIifqjs8P1aTFpHLW9iar4vd9lTphF_yuZL3hs5X6qIh40wrDo=w36-h36-p-rp-mo-ba4-br100,MNS,Local Guide · 215 reviews · 183 photos,3 months ago,"Fast service, too much chocolate hahaha RIP my diet"
https://lh3.googleusercontent.com/a-/ALV-UjXxRpDk3GCMfJqQdz_wMoVxu_d7LJ1pt_vMhpIqNtvk58lMnsEh=w36-h36-p-rp-mo-br100,Lukman Yusoff,6 reviews · 3 photos,2 months ago,Its super crowded and the system of buying food here is not good. U have to like go to different cashier for different food. Scan qr for other meal. Long queues just to eat some dessert. The ice cream is just not for me.
https://lh3.googleusercontent.com/a-/ALV-UjW1K9zgTMGNkMFtGrSMZAI1IMjZDsN5-9GzGYf3idQIXZ8zrpRS=w36-h36-p-rp-mo-ba4-br100,Rifat howlader,Local Guide · 36 reviews · 65 photos,10 months ago,"If you guys love chocolate, this is the place! There are many kinds of dessert, pancakes, roll ice cream, you say it.. …"
https://lh3.googleusercontent.com/a/ACg8ocLAeIJNYJnBO6Dh4wIMbX-9KP-j8cY6gtotBMKI-VUHFYAAoA=w36-h36-p-rp-mo-ba4-br100,nuril farahin,Local Guide · 113 reviews · 167 photos,2 years ago,"No waffles available when we order. The baby pancakes 4/5. The choc cheese in cup 5/5. but for samyang just 3/5 cause the ramen, it takes a long time to arrive and the ramen cold but the chic popcorn hot. The chic popcorn delicious though"
